"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","357","User can logout successfully","src.tests.functional","Mon Jul 06 23:42:41 UTC 2026","passed","Mon Jul 06 23:42:41 UTC 2026","TestAuthentication","test_auth","",""
"","0","Cash payment completes successfully","src.tests.functional","Mon Jul 06 23:46:04 UTC 2026","broken","Mon Jul 06 23:46:04 UTC 2026","TestMultiPayment","test_multi_payment","",""
"","223","Login page displays in default language","src.tests.compatibility","Mon Jul 06 23:34:40 UTC 2026","passed","Mon Jul 06 23:34:40 UTC 2026","TestMultiCurrency","test_multi_currency","",""
"","0","Barcode scan preserves order state","src.tests.functional","Mon Jul 06 23:42:45 UTC 2026","skipped","Mon Jul 06 23:42:45 UTC 2026","TestBarcodeScanning","test_barcode_scanning","",""
"","93671","Barcode scan input accepted in POS","src.tests.compatibility","Mon Jul 06 23:36:17 UTC 2026","broken","Mon Jul 06 23:37:51 UTC 2026","TestPeripheralSimulation","test_peripheral_simulation","",""
"","7239","POS interface renders in Chromium","src.tests.compatibility","Mon Jul 06 23:34:28 UTC 2026","passed","Mon Jul 06 23:34:36 UTC 2026","TestCrossBrowser","test_cross_browser","",""
"","1460","Login page renders in Chromium","src.tests.compatibility","Mon Jul 06 23:34:23 UTC 2026","passed","Mon Jul 06 23:34:25 UTC 2026","TestCrossBrowser","test_cross_browser","",""
"","1704","Login with demo user credentials","src.tests.functional","Mon Jul 06 23:42:42 UTC 2026","passed","Mon Jul 06 23:42:44 UTC 2026","TestAuthentication","test_auth","",""
"","706","Inventory report generation","src.tests.functional","Mon Jul 06 23:46:03 UTC 2026","passed","Mon Jul 06 23:46:04 UTC 2026","TestInventoryManagement","test_inventory","",""
"","599","View product stock levels","src.tests.functional","Mon Jul 06 23:42:46 UTC 2026","passed","Mon Jul 06 23:42:47 UTC 2026","TestInventoryManagement","test_inventory","",""
"","0","Scan valid barcode finds matching product","src.tests.functional","Mon Jul 06 23:42:45 UTC 2026","skipped","Mon Jul 06 23:42:45 UTC 2026","TestBarcodeScanning","test_barcode_scanning","",""
"","93658","Search product by barcode in inventory","src.tests.functional","Mon Jul 06 23:42:51 UTC 2026","broken","Mon Jul 06 23:44:25 UTC 2026","TestInventoryManagement","test_inventory","",""
"","658","UI renders correctly at tablet resolution (768x1024)","src.tests.compatibility","Mon Jul 06 23:34:36 UTC 2026","passed","Mon Jul 06 23:34:37 UTC 2026","TestCrossBrowser","test_cross_browser","",""
"","0","Split payment (cash + card) completes","src.tests.functional","Mon Jul 06 23:49:14 UTC 2026","broken","Mon Jul 06 23:49:14 UTC 2026","TestMultiPayment","test_multi_payment","",""
"","568","Product stock decreases after POS sale","src.tests.functional","Mon Jul 06 23:42:49 UTC 2026","passed","Mon Jul 06 23:42:49 UTC 2026","TestInventoryManagement","test_inventory","",""
"","621","UI renders correctly at desktop HD (1920x1080)","src.tests.compatibility","Mon Jul 06 23:34:39 UTC 2026","passed","Mon Jul 06 23:34:39 UTC 2026","TestCrossBrowser","test_cross_browser","",""
"","0","Bank card payment completes successfully","src.tests.functional","Mon Jul 06 23:47:39 UTC 2026","broken","Mon Jul 06 23:47:39 UTC 2026","TestMultiPayment","test_multi_payment","",""
"","0","Scan non-existent barcode shows no product","src.tests.functional","Mon Jul 06 23:42:45 UTC 2026","skipped","Mon Jul 06 23:42:45 UTC 2026","TestBarcodeScanning","test_barcode_scanning","",""
"","0","Cash drawer integration signal","src.tests.compatibility","Mon Jul 06 23:41:02 UTC 2026","broken","Mon Jul 06 23:41:02 UTC 2026","TestPeripheralSimulation","test_peripheral_simulation","",""
"","0","POS interface currency displays correctly","src.tests.compatibility","Mon Jul 06 23:34:40 UTC 2026","broken","Mon Jul 06 23:34:40 UTC 2026","TestMultiCurrency","test_multi_currency","",""
"","1300","Admin user can login successfully","src.tests.functional","Mon Jul 06 23:42:38 UTC 2026","passed","Mon Jul 06 23:42:39 UTC 2026","TestAuthentication","test_auth","",""
"","0","Barcode scan with leading zeros","src.tests.functional","Mon Jul 06 23:42:45 UTC 2026","skipped","Mon Jul 06 23:42:45 UTC 2026","TestBarcodeScanning","test_barcode_scanning","",""
"","148","Login page displays correctly","src.tests.functional","Mon Jul 06 23:42:42 UTC 2026","passed","Mon Jul 06 23:42:42 UTC 2026","TestAuthentication","test_auth","",""
"","0","Receipt preview renders correctly","src.tests.compatibility","Mon Jul 06 23:37:51 UTC 2026","broken","Mon Jul 06 23:37:51 UTC 2026","TestPeripheralSimulation","test_peripheral_simulation","",""
"","902","UI renders correctly at mobile resolution (375x812)","src.tests.compatibility","Mon Jul 06 23:34:37 UTC 2026","passed","Mon Jul 06 23:34:38 UTC 2026","TestCrossBrowser","test_cross_browser","",""
"","0","Scan barcode adds product to order","src.tests.functional","Mon Jul 06 23:42:45 UTC 2026","skipped","Mon Jul 06 23:42:45 UTC 2026","TestBarcodeScanning","test_barcode_scanning","",""
"","0","Multiple payment terminal support","src.tests.compatibility","Mon Jul 06 23:39:27 UTC 2026","broken","Mon Jul 06 23:39:27 UTC 2026","TestPeripheralSimulation","test_peripheral_simulation","",""
"","93695","Create product with stock tracking enabled","src.tests.functional","Mon Jul 06 23:44:27 UTC 2026","broken","Mon Jul 06 23:46:01 UTC 2026","TestInventoryManagement","test_inventory","",""
"","154","Database selection on multi-db setup","src.tests.functional","Mon Jul 06 23:42:45 UTC 2026","passed","Mon Jul 06 23:42:45 UTC 2026","TestAuthentication","test_auth","",""
