"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"10","","0","General","13","0","General","0"
"8","","0","General","0","0","Sales Transactions","0"
"8","","0","POS Workflow","0","0","General","0"
"8","","0","POS Workflow","0","0","Sales Transactions","0"
"2","","0","Multi-Payment Methods","0","3","Payment Method Handling and Split Payments","0"
"0","","0","General","4","0","Cross-Browser","0"
"0","","0","Compatibility","4","0","General","0"
"0","","0","Compatibility","4","1","Cross-Browser","0"
"0","","0","Compatibility","0","4","Peripheral Simulation","0"
"0","","0","General","3","0","Stock Control","0"
"0","","0","Inventory Management","3","0","General","0"
"0","","0","Inventory Management","3","2","Stock Control","0"
"0","","0","General","5","0","Login","0"
"0","","0","Authentication","5","0","General","0"
"0","","0","Authentication","5","0","Login","0"
"0","","0","General","1","0","Currency Display and Multi-Language Support","0"
"0","","0","Multi-Currency Compatibility","1","0","General","0"
"0","","0","Multi-Currency Compatibility","1","1","Currency Display and Multi-Language Support","0"
"0","","0","Barcode Scanning","0","5","Barcode Search and Product Lookup","0"
"2","","0","General","0","0","Payment Method Handling and Split Payments","0"
"2","","0","Multi-Payment Methods","0","0","General","0"
