"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Refund processed successfully","src.tests.functional","Tue Jul 14 08:24:28 UTC 2026","skipped","Tue Jul 14 08:24:28 UTC 2026","TestPosFullWorkflow","test_pos_full_workflow","",""
"","0","Process multiple payments on single order","src.tests.negative","Tue Jul 14 08:27:03 UTC 2026","skipped","Tue Jul 14 08:27:03 UTC 2026","TestPaymentFailures","test_payment_failures","",""
"","0","Payment screen shows available payment methods","src.tests.functional","Tue Jul 14 08:24:28 UTC 2026","skipped","Tue Jul 14 08:24:28 UTC 2026","TestMultiPayment","test_multi_payment","",""
"","0","Search for a product","src.tests.functional","Tue Jul 14 08:24:28 UTC 2026","skipped","Tue Jul 14 08:24:28 UTC 2026","TestProductManagement","test_product_management","",""
"","0","Tax inclusive pricing","src.tests.functional","Tue Jul 14 08:26:52 UTC 2026","skipped","Tue Jul 14 08:26:52 UTC 2026","TestTaxCalculations","test_tax_calculations","",""
"","0","Concurrent POS operations timing","src.tests.performance","Tue Jul 14 08:27:38 UTC 2026","skipped","Tue Jul 14 08:27:38 UTC 2026","TestPosPagePerformance","test_pos_load","",""
"","0","Create a new product","src.tests.functional","Tue Jul 14 08:24:28 UTC 2026","skipped","Tue Jul 14 08:24:28 UTC 2026","TestProductManagement","test_product_management","",""
"","0","Set quantity on order line","src.tests.functional","Tue Jul 14 08:24:28 UTC 2026","skipped","Tue Jul 14 08:24:28 UTC 2026","TestPosFullWorkflow","test_pos_full_workflow","",""
"","5563","Receipt shows correct product count after sale","src.tests.functional","Tue Jul 14 08:24:37 UTC 2026","passed","Tue Jul 14 08:24:43 UTC 2026","TestReceiptVerification","test_receipt_verification","",""
"","0","REGRESSION: Complete POS sale lifecycle","src.tests.regression","Tue Jul 14 08:27:40 UTC 2026","skipped","Tue Jul 14 08:27:40 UTC 2026","TestFullRegression","test_full_regression","",""
"","0","Scan barcode adds product to order","src.tests.functional","Tue Jul 14 08:24:23 UTC 2026","skipped","Tue Jul 14 08:24:23 UTC 2026","TestBarcodeScanning","test_barcode_scanning","",""
"","1286","Login page renders in Chromium","src.tests.compatibility","Tue Jul 14 08:24:07 UTC 2026","passed","Tue Jul 14 08:24:09 UTC 2026","TestCrossBrowser","test_cross_browser","",""
"","114","POS page loads under high latency (300ms)","src.tests.network","Tue Jul 14 08:27:04 UTC 2026","passed","Tue Jul 14 08:27:04 UTC 2026","TestNetworkTolerance","test_network_tolerance","",""
"","615","Product stock decreases after POS sale","src.tests.functional","Tue Jul 14 08:24:25 UTC 2026","passed","Tue Jul 14 08:24:25 UTC 2026","TestInventoryManagement","test_inventory","",""
"","5","Session cookie security attributes","src.tests.security","Tue Jul 14 08:27:53 UTC 2026","passed","Tue Jul 14 08:27:53 UTC 2026","TestDataProtection","test_data_protection","",""
"","1105","Loading states are indicated","src.tests.usability","Tue Jul 14 08:28:08 UTC 2026","passed","Tue Jul 14 08:28:09 UTC 2026","TestUiConsistency","test_ui_consistency","",""
"","92","Color contrast is sufficient","src.tests.usability","Tue Jul 14 08:27:58 UTC 2026","passed","Tue Jul 14 08:27:58 UTC 2026","TestAccessibility","test_accessibility","",""
"","0","Create product with stock tracking enabled","src.tests.functional","Tue Jul 14 08:24:26 UTC 2026","skipped","Tue Jul 14 08:24:26 UTC 2026","TestInventoryManagement","test_inventory","",""
"","0","Create a return for a completed sale","src.tests.functional","Tue Jul 14 08:26:47 UTC 2026","skipped","Tue Jul 14 08:26:47 UTC 2026","TestReturnsExchanges","test_returns_exchanges","",""
"","0","Scan valid barcode finds matching product","src.tests.functional","Tue Jul 14 08:24:23 UTC 2026","skipped","Tue Jul 14 08:24:23 UTC 2026","TestBarcodeScanning","test_barcode_scanning","",""
